,id,candidate
0,6dfc70fc831d3034a6d94cc6934c4373,3ccfc87fe7983bc080810317fe823bee
1,6dfc70fc831d3034a6d94cc6934c4373,8ceff7b2b20039dc92ca75ba1d36e026
2,6dfc70fc831d3034a6d94cc6934c4373,5b727f9f477a37a89ab85999c94c0c8a
3,6dfc70fc831d3034a6d94cc6934c4373,5b727f9f477a37a89ab85999c94c0c8a
4,6dfc70fc831d3034a6d94cc6934c4373,7e628cce1e9832a0a52c8f2a3db293c9
5,6dfc70fc831d3034a6d94cc6934c4373,5794d0a07e8735c6ae306bee8e36cd19
6,6dfc70fc831d3034a6d94cc6934c4373,bb18641edded32c88bc5698dce135f6d
7,6dfc70fc831d3034a6d94cc6934c4373,634444e4435937d78dea6e0f914808e5
8,6dfc70fc831d3034a6d94cc6934c4373,634444e4435937d78dea6e0f914808e5
9,6dfc70fc831d3034a6d94cc6934c4373,634444e4435937d78dea6e0f914808e5
0,1801691906413451a4a815ded36eda70,781e25473e403a1c9304be5d4a008ab7
1,1801691906413451a4a815ded36eda70,8f6810ddcac83fa589adbbe0cf71208b
2,1801691906413451a4a815ded36eda70,4fa2530b096c397989703375437a36af
3,1801691906413451a4a815ded36eda70,5c94f4f2ed983d2384bdc1e56a14d224
4,1801691906413451a4a815ded36eda70,06dfab7fa717387b957cb504486d6674
5,1801691906413451a4a815ded36eda70,f0f642ea98723aa0a0ea55df0778f60d
6,1801691906413451a4a815ded36eda70,dd0a51d3d56132d3a4d310971d397003
7,1801691906413451a4a815ded36eda70,aaa91018f8b93d8382495408aa621dfe
8,1801691906413451a4a815ded36eda70,67fa988c5cd33ff0937e793b69e80b75
9,1801691906413451a4a815ded36eda70,35eaf66f7ae13ddbb977bf1df426867e
0,f203c828133a3866996612c28cbe7640,18d32952c489362298100e155f3f7c5c
1,f203c828133a3866996612c28cbe7640,cb28e45460333deba1f9a1e206438e7d
2,f203c828133a3866996612c28cbe7640,cb28e45460333deba1f9a1e206438e7d
3,f203c828133a3866996612c28cbe7640,93565523174e3051aac2008ef277e345
4,f203c828133a3866996612c28cbe7640,a775ddbaa6ba358b8188b44dc5ae603a
5,f203c828133a3866996612c28cbe7640,c9e043a906a73726ba3ece7845e62fed
6,f203c828133a3866996612c28cbe7640,27434a1c309b3f4680d985ac3f78f331
7,f203c828133a3866996612c28cbe7640,27434a1c309b3f4680d985ac3f78f331
8,f203c828133a3866996612c28cbe7640,23b0b519df7033b98900deb21750fa1b
9,f203c828133a3866996612c28cbe7640,0b54a3e03d613cc28d85c619922faf40
0,22ada90ec1333e78afb6d6eda357832d,dcf99d1c87a53500ad5f31425e93bc79
1,22ada90ec1333e78afb6d6eda357832d,75dfdd66c6ba3952916aa2e92f7fb593
2,22ada90ec1333e78afb6d6eda357832d,51148cbee2fc382f8fd7bc78f5d33733
3,22ada90ec1333e78afb6d6eda357832d,c8a5476b3ba331ac84ffb3a2a0104f15
4,22ada90ec1333e78afb6d6eda357832d,dae2208986503e7f9eb7520679be674c
5,22ada90ec1333e78afb6d6eda357832d,67a3fa4c987434ad9880727c636b282a
6,22ada90ec1333e78afb6d6eda357832d,c6f382cb64923e0ab3dd45dc4c770b08
7,22ada90ec1333e78afb6d6eda357832d,c8220690d54f3b6ea66a113763387163
8,22ada90ec1333e78afb6d6eda357832d,8423a52e470d345a8809978fb37030a0
9,22ada90ec1333e78afb6d6eda357832d,4057885cd3a83e079b111f6d13536ab2
0,826c8665106c36678b20689b24891b56,80ba1fecf54a3b029115ff0ecef15a8e
1,826c8665106c36678b20689b24891b56,cf94609de0db33e68a1b11cc77665820
2,826c8665106c36678b20689b24891b56,319b92ddf1ac384ba47c7ca24426581e
3,826c8665106c36678b20689b24891b56,74dbd535699f31368afc08771b992a6b
4,826c8665106c36678b20689b24891b56,c210173cd3c13f0fb58c48bfdc7d435b
5,826c8665106c36678b20689b24891b56,c7769c34ce9c3b38ab3c2ec0f343c51a
6,826c8665106c36678b20689b24891b56,1fdfff2be5fa3239b45ab4b43632b7ae
7,826c8665106c36678b20689b24891b56,de7aa754c0333de28b94a2efeac463c5
8,826c8665106c36678b20689b24891b56,222aec88b0883973acc80382fabd70b4
9,826c8665106c36678b20689b24891b56,48e6c8d0baad3755ad0a568a194e0f42
0,553e86974a0c3a6da8c7e18965c9bb1d,608b85c2eb3c3f18970f3cf67ca9540f
1,553e86974a0c3a6da8c7e18965c9bb1d,313afaec8c7836459b027b1677bcf7e4
2,553e86974a0c3a6da8c7e18965c9bb1d,e363f2e59c783d1ea39b44862e1836b0
3,553e86974a0c3a6da8c7e18965c9bb1d,a6dff28b2c003fcdb5dab49d13c22d72
4,553e86974a0c3a6da8c7e18965c9bb1d,ee823c6d899436628c3ffe8e259ba97a
5,553e86974a0c3a6da8c7e18965c9bb1d,a8d82024c16331e79231f62b4770b8d3
6,553e86974a0c3a6da8c7e18965c9bb1d,575b01b0ab323eb3af3ede100078b569
7,553e86974a0c3a6da8c7e18965c9bb1d,813979ffb98d3f7497a8446360cddfbf
8,553e86974a0c3a6da8c7e18965c9bb1d,5326ede2d1ae3d0b878d0da79c22ff9e
9,553e86974a0c3a6da8c7e18965c9bb1d,5173cd9a1ca832f6a397fca9316ffe2f
0,14c03ac83d6b366cb9fcf9ead754ee60,d17f502ccec03a449ceb89ede5e8e324
1,14c03ac83d6b366cb9fcf9ead754ee60,275ddc19a20131e2b45368a52a7286aa
2,14c03ac83d6b366cb9fcf9ead754ee60,6a5721e4345a39ce9226ae1fd4011009
3,14c03ac83d6b366cb9fcf9ead754ee60,7121b567dd5538978389327b270b744d
4,14c03ac83d6b366cb9fcf9ead754ee60,37b22d9001593e7fa8b1a01c97672470
5,14c03ac83d6b366cb9fcf9ead754ee60,35f2d57d60063af99b5007f57d3f97d5
6,14c03ac83d6b366cb9fcf9ead754ee60,1eb27159451d3920b2e9870f08b45468
7,14c03ac83d6b366cb9fcf9ead754ee60,01a0a756d7e739d69f2f64e5e87bedaa
8,14c03ac83d6b366cb9fcf9ead754ee60,39d4bef03aa73940aa44895be3ab092e
9,14c03ac83d6b366cb9fcf9ead754ee60,d2098a02a1123e08a6f9750af00b26d8
0,f8f73e29a1c2354699417fef66469801,36263af4349b32d2b3057bc89fee63c9
1,f8f73e29a1c2354699417fef66469801,b063c6b946fa3dd5bf46ed5ac8a8ab64
2,f8f73e29a1c2354699417fef66469801,883949ce89dc3500a4663a382e21d8b8
3,f8f73e29a1c2354699417fef66469801,517aaccc62443eee9c16ce4553c1162c
4,f8f73e29a1c2354699417fef66469801,1d13281d0efc3514896909c783497ebd
5,f8f73e29a1c2354699417fef66469801,48fadc61da8b3f4f8fb3f8dd83e21cd5
6,f8f73e29a1c2354699417fef66469801,48fadc61da8b3f4f8fb3f8dd83e21cd5
7,f8f73e29a1c2354699417fef66469801,3284a217088d327f85b001f74485c435
8,f8f73e29a1c2354699417fef66469801,158e9462565730d996cca641234bfc71
9,f8f73e29a1c2354699417fef66469801,11ad5401a43c3070b5254d9f662578a2
0,6b7b0c209ac939afa43f030d67433178,edd1413c78e534afb136f36fdc9c9a00
1,6b7b0c209ac939afa43f030d67433178,0b7808cb9e7239b79a27c2f4d2514d71
2,6b7b0c209ac939afa43f030d67433178,2ba602dd41c8329e8dac8ef9d84308ab
3,6b7b0c209ac939afa43f030d67433178,4f9096aacde73a7281465fd91e6d782a
4,6b7b0c209ac939afa43f030d67433178,1868fc3fc6803acf81c3b89b3dd1a114
5,6b7b0c209ac939afa43f030d67433178,e2f7e666f8a336c3a2857d25c820508a
6,6b7b0c209ac939afa43f030d67433178,b7b30aeb48753e7daa1cb7bac023cf2a
7,6b7b0c209ac939afa43f030d67433178,660af8ed344136dba5d5cc31ab5b5527
8,6b7b0c209ac939afa43f030d67433178,5fba35fb5285308891c6fcc483404b4c
9,6b7b0c209ac939afa43f030d67433178,86b97e348b433f13bb08573f41a9eb47
0,5f49bdf6fad23622962ffe6f5157638e,c2c01b9338ae323fb8e1ee406e0fef6c
1,5f49bdf6fad23622962ffe6f5157638e,aec738bbd7a730ef9b0f06ac32b09cce
2,5f49bdf6fad23622962ffe6f5157638e,77895478a3bc370ba2cfc70ae91d5abf
3,5f49bdf6fad23622962ffe6f5157638e,5aa9e5e30b323379a27b44bff41b6c2c
4,5f49bdf6fad23622962ffe6f5157638e,c28f63af994f3c1a80c4a7327f8cf2b7
5,5f49bdf6fad23622962ffe6f5157638e,c460c7db1f4e361198be3fb0afcd74e2
6,5f49bdf6fad23622962ffe6f5157638e,5bba35cd962e309c91b4c183077016f6
7,5f49bdf6fad23622962ffe6f5157638e,824d94e44f863bde99b1fd91c7b3c343
8,5f49bdf6fad23622962ffe6f5157638e,aed7d7fe02613e749524177cf37e66c5
9,5f49bdf6fad23622962ffe6f5157638e,26b7ff16d5713533ac14d6c20273671d
0,fbf256e1cc233201b85e75592df70ef5,ffc2b9dea70e3ac59e5b33b9f9b247c6
1,fbf256e1cc233201b85e75592df70ef5,842e782a34a839c9ac7f71bf56744bf8
2,fbf256e1cc233201b85e75592df70ef5,fdabee9cbfc83baabcdcb17d2145a188
3,fbf256e1cc233201b85e75592df70ef5,f93d18db4872369f83d7f775ce5aa467
4,fbf256e1cc233201b85e75592df70ef5,2bbfbceb05423175aefff3377c929498
5,fbf256e1cc233201b85e75592df70ef5,154d2037898732fc9fcb5f11de8bff10
6,fbf256e1cc233201b85e75592df70ef5,8cc15c3f6d05372b91ce40fb5a344731
